Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Tandulwadi,964,3,1.24,0.00,0.00,1.48,1.42,0.00,130.71,128.63,0.00,0.00,153.53,147.30,0.00,,,,,,,,,,,,,,3,3,4,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,3,3,4
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Patsul,972,1,2.10,1.25,0.00,2.69,3.60,0.00,164.61,216.05,128.60,0.00,276.75,370.37,0.00,,,,,,,,,,,,,,2,2,5,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,3,3,4
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Panori,535,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,7,7,0,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,7,7,0
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Nijampur,712,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,7,7,0,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,2,3,4
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Palsod,2116,3,0.04,0.41,0.02,0.19,0.00,0.01,0.00,1.66,19.37,1.01,9.12,0.18,0.35,,,,,,,,,,,,,,1,7,0,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,2,5,2
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Mundgaon,7199,2,884.09,3468.80,18.78,30.64,0.00,31.57,1868.70,12280.66,48184.44,260.87,425.61,0.00,438.53,,,,,,,,,,,,,,1,1,6,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,0,0,7
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Sonbardi,712,2,0.84,0.15,0.00,0.00,0.51,0.24,1.40,117.98,20.53,0.00,0.00,71.63,33.71,,,,,,,,,,,,,,2,5,2,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,3,5,2
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Sangavi,461,1,4.93,0.12,0.00,0.01,0.82,1.54,0.00,1069.41,26.03,0.00,2.17,177.87,334.06,,,,,,,,,,,,,,2,4,3,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,3,3,4
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Rajurwadi,46,1,2.29,0.00,0.00,0.00,0.00,0.00,0.00,4978.26,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,6,6,1,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,2,2,5
Amravati,Akola,Akola,Akola,Akola,20028565,"Akot 84 VRRWSS Tq. Akola, Akot & Telhara Dist. Akola",Pimpari Dikkar,522,1,0.00,0.00,1.73,0.00,0.00,0.00,0.00,0.00,0.00,331.42,0.00,0.00,0.00,,,,,,,,,,,,,,6,6,1,27-May,28-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,5,5,2
